"Año";"Periodo";"Compraventa de viviendas"
"2007";"Septiembre";"1.800,59"
"2008";"Septiembre";"1.744,49"
"2009";"Septiembre";"1.709,41"
"2010";"Septiembre";"1.607,28"
"2011";"Septiembre";"1.500,99"
"2012";"Septiembre";"1.362"
"2013";"Septiembre";"1.223,42"
"2014";"Septiembre";"1.222,02"
"2015";"Septiembre";"1.281,1"
"2016";"Septiembre";"1.300,03"
"2017";"Septiembre";"1.393,53"
"2018";"Septiembre";"1.458,41"
"2019";"Septiembre";"1.458,43"
"2020";"Septiembre";"1.374"
"2021";"Septiembre";"1.539,56"
"2022";"Septiembre";"1.660"
"2023";"Septiembre";"1.643"
;;
;;
"Métrica":"Compraventa de viviendas"
"Fuente":"Consejo General del Notariado"
"Clasificación":""
"Unidad":"Euros / metro cuadrado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/precio-vivienda-situa-euros/82321f28-077e-41a3-9e71-b3b13af20c02/espana/106"
"Titulo":"Evolución del precio de la vivienda por m2"
"Subtitulo":""
